Cédula;Nombre ;Apellido;Semestre;Materia;Calificación
9876543210;Gabriela;Cedeño;5;EDUCACIÓN FÍSICA;9
9876543210;Gabriela;Cedeño;6;EDUCACIÓN FÍSICA;8,5
9876543210;Gabriela;Cedeño;1;LENGUAJE;8,5
9876543210;Gabriela;Cedeño;2;LENGUAJE;9
9876543210;Gabriela;Cedeño;3;LENGUAJE;9
9876543210;Gabriela;Cedeño;4;LENGUAJE;9
9876543210;Gabriela;Cedeño;5;LENGUAJE;9
9876543210;Gabriela;Cedeño;6;LENGUAJE;8,5
9876543210;Gabriela;Cedeño;1;SOCIALES;8,5
9876543210;Gabriela;Cedeño;2;SOCIALES;9
9876543210;Gabriela;Cedeño;3;SOCIALES;9
9876543210;Gabriela;Cedeño;4;SOCIALES;9
9876543210;Gabriela;Cedeño;5;SOCIALES;9
9876543210;Gabriela;Cedeño;6;SOCIALES;8,5
9876543210;Gabriela;Cedeño;1;DIBUJO;8,5
9876543210;Gabriela;Cedeño;2;DIBUJO;9
9876543210;Gabriela;Cedeño;3;DIBUJO;9
9876543210;Gabriela;Cedeño;4;DIBUJO;9
9876543210;Gabriela;Cedeño;5;DIBUJO;9
9876543210;Gabriela;Cedeño;6;DIBUJO;8,5
1478523690;Ximena;Estrada;1;MATEMÁTICAS;6,5
1478523690;Ximena;Estrada;2;MATEMÁTICAS;7
1478523690;Ximena;Estrada;3;MATEMÁTICAS;7
1478523690;Ximena;Estrada;4;MATEMÁTICAS;7
1478523690;Ximena;Estrada;5;MATEMÁTICAS;7
1478523690;Ximena;Estrada;6;MATEMÁTICAS;6,5
1478523690;Ximena;Estrada;1;MÚSICA;9
1478523690;Ximena;Estrada;2;MÚSICA;9,5
1478523690;Ximena;Estrada;3;MÚSICA;9,5
1478523690;Ximena;Estrada;4;MÚSICA;9,5
1478523690;Ximena;Estrada;5;MÚSICA;9,5
1478523690;Ximena;Estrada;6;MÚSICA;9
1478523690;Ximena;Estrada;1;EDUCACIÓN FÍSICA;9
1478523690;Ximena;Estrada;2;EDUCACIÓN FÍSICA;9,5
1478523690;Ximena;Estrada;3;EDUCACIÓN FÍSICA;9,5
1478523690;Ximena;Estrada;4;EDUCACIÓN FÍSICA;9,5
1478523690;Ximena;Estrada;5;EDUCACIÓN FÍSICA;9,5
1478523690;Ximena;Estrada;6;EDUCACIÓN FÍSICA;9
1478523690;Ximena;Estrada;1;LENGUAJE;9
1478523690;Ximena;Estrada;2;LENGUAJE;9,5
1478523690;Ximena;Estrada;3;LENGUAJE;9,5
1478523690;Ximena;Estrada;4;LENGUAJE;9,5
1478523690;Ximena;Estrada;5;LENGUAJE;9,5
1478523690;Ximena;Estrada;6;LENGUAJE;9
1478523690;Ximena;Estrada;1;SOCIALES;9
1478523690;Ximena;Estrada;2;SOCIALES;9,5
1478523690;Ximena;Estrada;3;SOCIALES;9,5
1478523690;Ximena;Estrada;4;SOCIALES;9,5
1478523690;Ximena;Estrada;5;SOCIALES;9,5
1478523690;Ximena;Estrada;6;SOCIALES;9
1478523690;Ximena;Estrada;1;DIBUJO;9
1478523690;Ximena;Estrada;2;DIBUJO;9,5
1478523690;Ximena;Estrada;3;DIBUJO;9,5
1478523690;Ximena;Estrada;4;DIBUJO;9,5
1478523690;Ximena;Estrada;5;DIBUJO;9,5
1478523690;Ximena;Estrada;6;DIBUJO;9
